Province_State,Combined_Key,Active Cases,Deaths
Alabama,"Autauga, Alabama, US",6909,107
Alabama,"Baldwin, Alabama, US",20983,306
Alabama,"Barbour, Alabama, US",2302,56
Alabama,"Bibb, Alabama, US",2596,63
Alabama,"Blount, Alabama, US",6619,135
Alabama,"Bullock, Alabama, US",1229,41
Alabama,"Butler, Alabama, US",2154,69
Alabama,"Calhoun, Alabama, US",14450,312
Alabama,"Chambers, Alabama, US",3545,123
Alabama,"Cherokee, Alabama, US",1837,45
Alabama,"Chilton, Alabama, US",4240,111
Alabama,"Choctaw, Alabama, US",603,24
Alabama,"Clarke, Alabama, US",3502,60
Alabama,"Clay, Alabama, US",1533,56
Alabama,"Cleburne, Alabama, US",1483,41
Alabama,"Coffee, Alabama, US",5489,115
Alabama,"Colbert, Alabama, US",6279,134
Alabama,"Conecuh, Alabama, US",1100,28
Alabama,"Coosa, Alabama, US",1068,28
Alabama,"Covington, Alabama, US",4105,117
Alabama,"Crenshaw, Alabama, US",1515,57
Alabama,"Cullman, Alabama, US",9615,193
Alabama,"Dale, Alabama, US",4810,111
Alabama,"Dallas, Alabama, US",3536,150
Alabama,"DeKalb, Alabama, US",8811,185
Alabama,"Elmore, Alabama, US",10013,205
Alabama,"Escambia, Alabama, US",3925,75
Alabama,"Etowah, Alabama, US",13792,352
Alabama,"Fayette, Alabama, US",2119,62
Alabama,"Franklin, Alabama, US",4238,82
Alabama,"Geneva, Alabama, US",2469,75
Alabama,"Greene, Alabama, US",922,34
Alabama,"Hale, Alabama, US",2217,76
Alabama,"Henry, Alabama, US",1884,44
Alabama,"Houston, Alabama, US",10503,280
Alabama,"Jackson, Alabama, US",6790,110
Alabama,"Jefferson, Alabama, US",76199,1516
Alabama,"Lamar, Alabama, US",1411,34
Alabama,"Lauderdale, Alabama, US",9393,238
Alabama,"Lawrence, Alabama, US",2996,98
Alabama,"Lee, Alabama, US",15796,168
Alabama,"Limestone, Alabama, US",9933,150
Alabama,"Lowndes, Alabama, US",1383,53
Alabama,"Macon, Alabama, US",1586,49
Alabama,"Madison, Alabama, US",34555,501
Alabama,"Marengo, Alabama, US",2485,64
Alabama,"Marion, Alabama, US",3092,100
Alabama,"Marshall, Alabama, US",12164,222
Alabama,"Mobile, Alabama, US",40832,804
Alabama,"Monroe, Alabama, US",1761,40
Alabama,"Montgomery, Alabama, US",24252,585
Alabama,"Morgan, Alabama, US",14246,279
Alabama,"Out of AL, Alabama, US",0,0
Alabama,"Perry, Alabama, US",1075,26
Alabama,"Pickens, Alabama, US",2335,59
Alabama,"Pike, Alabama, US",3091,77
